country,name,address,sector
AUSTRALIA,Tripler Trading Co Pty Ltd,"40-46 Western Avenue,Tullamarine  Victoria  3043 Australia",Apparel
CHINA,Yangzhou Yaxiya Headwear & Garment Co.Ltd,"Bali Town,Yangzhou Development Zone. Yangzhou,Jiangsu Province,China",Apparel
CHINA,ChiBi Wei Ren Clothes Making Co. Ltd,"No.138 Fa Zhan Da Dao,Chibi City,Xianning City,Hubei Sheng,China",Apparel
CHINA,New Treasure Clothing Co. Ltd,"No.41 Jiang Bin Road,Nanhai Area,Foshan City,Guangdong,China",Apparel
CHINA,Guang Chueng Garment Co. Ltd,"Road Cun Industrial Zone,Gaobu Town,Dongguan,Guangdong,China",Apparel
CHINA,Nantong Solamoda Garments Co.,"Ltd,Jiuhua Industrial Zone,Jiuhua Town. Rugao City,Jiangsu,China",Apparel
CHINA,Wenzhou Youmuren Leather Co.Ltd,"Wuniu Street,Yongjia province,Wenzhou City,Zhejiang,China",Apparel
CHINA,Jiangyin Rongjichan Sweater Garment Co. Ltd.,"No.60 Changshan Road,Economic Development Zone,Jiangyin,Jiangsu,China",Apparel
CHINA,Taishan Santos Garment MFG Co. Ltd,"Industrial Development District,Sanba Town,Taishan city,Guangdong,China",Apparel
CHINA,Jiaxing Sunshine Garment Co.Ltd.,"No. 26 Tongyi Road,Xinfeng Industrial  Zone,Nanhu District,Jiaxing City,China",Apparel
CHINA,Nantong Hengkang Textile.co.Ltd,"No. 288 Guo Qiang Road,Gangzha Area,Nantong City,Jiangsu,China,226011",Apparel
CHINA,Ningbo Jingye Fashion Co.Ltd.,"Baiyue lndustrial Zone,Jishigang Industrial Town,Ningbo,Zhejiang,China 315171",Apparel
CHINA,Ningbo Kangsheng Century Textiles Co. Ltd,"No. 105 Wuxiang North Road,Wuxiang Industrial Zone,Ningbo,Zhejiang",Apparel
CHINA,Advancetex Garment Manufacturer Pty. Ltd.,"No.10 Yun Shan Dong Road Huicheng Area,Huizhou City,Guangdong Sheng,China",Apparel
CHINA,Zhongshan Fungtex Garment Factory Ltd.,"No.38 ShengShi Section Kangle Bei Road Shaxi Town Zhongshan,City Guangdong,China,Cut & Sew Knitwear",Apparel
CHINA,Zhongshan Yi Jun Knitting Co Ltd,"No. 38 Changsheng Street,Souther District,Zhongshan,Guangdong",Apparel
CHINA,Haian Xinhuiya Co. Ltd.,"No.3 Longxu Road,Haian,Jiangsu,China",Apparel
CHINA,Guizhou Donghai Clothing Co. Ltd.,"Douyan Village,Qimo Town,Zhijin County,Bijie,Guizhou",Apparel
INDIA,Umang Exports. Co. Ltd,"P.N 2A & 2B,Dada Gurudev Nagar,Sanganer,Jaipur 302029,India",Apparel
CHINA,Nantong Gainly Garment Co.,"Ltd,No. 18 Yue Jiang Road,Gangzha Area,Nantong City,Jiangsu,China,226000",Apparel
CHINA,Younuo Garment Co. Ltd,"No. 88,Xiwen Road,Wenlin Town,Jiangyin City,Jiangsu,China",Apparel
CHINA,Changshu Xinping.co.Ltd,"Hao Wei Fu No.1 No.18th,Pu Jiang Road,XuPu Town,Changsu City,Jiangsu Province,China",Apparel
CHINA,Danyang Tongyu.Co. Ltd,"Jianye Road,Industrial park,Fangxian Town,Danyang City,Jiansgu,China",Apparel
CHINA,Shenzhen Zhaowen Textile Clothing Co. Ltd,"179,Dafu Road,Jutangshequ,Fucheng,Longhuaxinqu,Shenzhen,China",Apparel
CHINA,Haian Lianfa Garments.Co.,"Ltd,No.88,Henglian Road,Haian Town,Nantong City,Jiangsu Province,China",Apparel
CHINA,Ningbo Soulignant Garments. Co. Ltd,"No. 68 Gongmao Rd,Gu An,Mid lianfeng Rd,Yingzhou,Ningbo,China",Apparel
INDIA,Simran International Export PVT Ltd,"G1/697 Riico Industrial Area,Phase II,Bhiwadi,District. Alwar,Rajasthan 301019,India",Apparel
CHINA,Suzhou Jinhe Dyeing & Knitting Co. Ltd.,"Building 14,No. 2588 Tian Dang Road,Hengjing Street,Wuzhong District,SuZhao,Jiangsu,China",Apparel
CHINA,Shanghai Jinlin Textile Co. Ltd.,"No,17,Sishui Road,Industrial Zone,Xuyi City,Jiangsu,China",Apparel
CHINA,Jiangnan Foreign Trading Co Ltd,"Rm#B203,Unit 2,No#44,Wuai Xin Village,Yiwu City,Zhejiang Province,China",Apparel
CHINA,Jiangsu  Hongfeng Computer Knitting Textiles Co.,"Ltd.,No.375,Yongjin Road,Miaoqiao Town,Zhangjiagang City,Jiansu,China",Apparel
CHINA,Ningbo Popmode Co. Ltd.,"No. 72-106,Gongmao 1 Road,Jishigang Industrial Zone,Ningbo,Zhejiang,Woven",Apparel
CHINA,Ningbo Purple Field Import & Export Co.Ltd.,"No.66,East on 2nd  Gongmao Road,Jishigang Industrial Area,Ningbo,Zhejiang Province,China",Apparel
CHINA,Master Garment Co. Ltd,No. 4 industrial zone Prosperous Small Mouths HuiZhou,Apparel
