country,name,address,sector,lat,lng
China,Yi Chang Tai (Shenzhen) Garment Factory,"1-2/F,Block 1,Liantang Industrial Park,48 Kangzheng Road,Danzhutou,Nanwan,Long Gang Qu,Shenzhen,Guangdong Province",Apparel,22.62659,114.14644
China,"Jiangsu Golden Empire Apparelparel Co.,Ltd","11 Changjiang Road,Yancheng Economy Development Zone,Yancheng,Jiangsu Province",Apparel,33.3546072,120.1844841
China,"Dragon-Jety Garments (Shenzhen) Co.,Ltd","130 Watergate Lane,Ping Wu Industrial Zone,Shenzhen,Guangdong Province",Apparel,22.4769496,113.913916
China,"Hai Ning Yue Li Socks Co.,Ltd","19-20,Wan Ye Industry Zone,No. 368 Luo Long Road,Hai Ning City,Jiaxing,Zhejiang Province",Apparel,30.53453,120.66899
China,"Shanghai Conch Apparelparel Co.,Ltd","2085 Liuxiang Road,Jiading District,Shanghai",Apparel,31.3956,121.29691
Vietnam,Outdoor Designs VINA Ltd,"24A,To 6,KP Khanh Hoi,Tan Phuoc Khanh,Tan Uyen District,Tan Uyen,Binh Duong Province",Apparel,11.0111427,106.743007
China,"Shanghai Big River Knitwear Co.,Ltd","2799 Humin Road,Shanghai",Apparel,31.09662,121.38577
China,"Wenzhou Kingstar Leather Products Co.,Ltd","40 Yufeng Road,Xinfeng Village,Xianyan Town,Wenzhou,Zhejiang Province",Apparel,27.86232,120.66983
China,Yangzhou Xinsheng Outdoor Products Factory,"5 Guangming Road,Huadang Town,Jiangdu,Yangzhou,Jiangsu Province",Apparel,32.81148,119.63918
New Zealand,New Zealand Gloves Ltd,"77 Adams Drive,Pukekohe,Franklin,Auckland",Apparel,-37.1833826,174.9029645
New Zealand,New Zealand Sock Company,"8 Kermodes Streeet,Ashburton",Apparel,-43.9037251,171.7413538
Vietnam,TEX-GIANG  JOINT STOCK COMPANY,"BII - 8 Section,D3 Street,Tan Huong Industrial Zone,Tien Giang Province",Apparel,10.4862586,106.3640398
China,"Shanghai Chengshang Textile & Clothing Co.,Ltd","Bldg. 35,No. 7162,Hu Nan Road,Pudong District,Shanghai",Apparel,31.16853,121.5608
China,Wan Yang Garment Factory,"Daihe Coal Mine,Huaibei,Anhui Province",Apparel,33.98938,116.8446
China,"Shenzhen Natural Home Textile Co.,Ltd","Dakang Long Village,Henggang Town,Shenzhen,Guangdong Province",Apparel,22.64406,114.22625
China,Litai Textile Materials and Garments Stitching Company,"Ganpu New Industrial Zone,Haiyan Town,Jiaxing,Zhejiang Province",Apparel,30.397162,120.855089
China,"Wuxi Ying Bin Socks Co.,Ltd","He Lie Street Industry Zone,Jin Gui Road,Hu Dai Industry Zone,Bin Hu District,Wuxi,Jiangsu Province",Apparel,31.57174,120.27439
Indonesia,PT. PancApparelrima Ekabrothers,"Jalan Raya Siliwangi 1km No. 178A,Kec Jatiuwung,Tangerang",Apparel,-6.1864778,106.5744185
China,Wai Wah Ski-Wear Factory Ltd,"Jinling Industrial Zone,Zone A,Tangxia Town,Pengjiang Zone,Jiangmen,Guangdong Province",Apparel,22.68059,113.03061
China,Longyou Qinda Tent Factory,"Linjiang Industry Area,10 Lingjiang Road,Longyou,Quzhou,Zhejiang Province",Apparel,29.0282699,119.17225
Vietnam,"The Soul Gear Vina Co.,Ltd","Lot M-1-CN,NA 7 St,My Phuoc-II Industrial Park,Ben Cat,Binh Duong Province",Apparel,11.127431,106.6275475
China,"Zhejiang Top Circle Textiles Co.,Ltd","118 Fanrong,Jiaxing,Zhejiang Province",Apparel,30.71394,120.9987
China,"Yangzhou Xinte Travelling Goods Co.,Ltd","Yuelai Road,Lidian town,Hanjiang,Yangzhou,Jiangsu Province",Apparel,32.37283,119.35989
China,"Shanghai Zonda Outdoor Goods Co.,Ltd","528 Xingge Road,Xingqiao Town,Songjiang District,Shanghai,Jiangsu Province",Apparel,31.058768,121.315719
China,"Ningbo Beston Plastics Co.,Ltd","No.66 Yicheng Road,Xiaogang,Beilun,Ningbo,Zhejiang Province",Apparel,29.95958,121.74264
China,"Tianjin Tianshiyuan Sewing Products Co.,Ltd","Baziqiao,Economic Area,Dazhong Town,Baodi District,Tianjin",Apparel,39.699028,117.567666
China,"Quzhou Tianye Camping Tent Co.,Ltd","No.895 Century Ave,Quzhou,Zhejiang Province",Apparel,29.03618,119.18163
Vietnam,"PHI Co.,Ltd","XN10,Dai An Industrial Zone KM51,High Way No.5,Tu Minh,Hai Duong City,Hai Duong Province",Apparel,20.9330345,106.2683658
Vietnam,"Well Mart Vietnam Co.,Ltd","Ang Duong Village,Trung LApparel Commune,Vinh Bao District,Hai phong City,Hai Phong,Hai Phong Province",Apparel,20.8449115,106.6880841
China,"LianYunGang Guanlin Garment Co.,Ltd","No.68 XingYang Road,GuanYun Town,LianYunGang,JiangSu,Lianyungang,Jiangsu Province",Apparel,34.25547,119.0663
China,"Shanghai Feishun Handicraft Co.,Ltd","Beiqing Road 4298th,Fengxi Town,Qingpu District,Shanghai",Apparel,31.19005,121.18573
China,"Shanghai Challenge Garment Co.,Ltd","1918 Tingfeng Road,Tinglin,Jinshan District 201504,Shanghai",Apparel,30.89369,121.25146
Vietnam,"Tai Viet Camping Products Industries Co.,Ltd","District 7,Tan Thuan Export Processing Zone,Tan Thuan Road,Ho Chi Minh City",Apparel,10.7513608,106.7405605
China,"Huang Hua Kang Da Family Textiles Co.,Ltd","ZhangFuZhuang Village,LvQiao Town,Huanghua,Hebei Province",Apparel,38.51903,117.24461
China,"Zhejiang Natural Travel Goods Co.,Ltd","Xiacao Village Pingqiao Town,Tiantai county,Taizhou,Zhejiang Province",Apparel,29.1386799,120.90447
China,Yonghe Garment Factory of Xinhui Jiangmen,"No 8 of the Seventh District,Xijia Industrial Area,Xinhui,Jiangmen,Guangdong Province",Apparel,22.48547,112.85376
China,"Shanghai Qianrun Garments Co.,Ltd","NO. 233 Lane 1888,Daye Road,Wuqiao industrial Zone,Fengxian District,Shanghai",Apparel,30.9180299,121.4741
China,Dong Chong Chong Ming Glove Factory,"No. 43-5 Ji Xiang Wei Nan Street,Dong Chong Town,Nansha District,Guangzhou,Guangdong Province",Apparel,22.88603,113.4557
China,"Guang Zhou Xinwei Shoes Co.,Ltd","No. 475 Guangcong South Road,Taiping Town,Conghua District,Guangdong Province",Apparel,23.46029,113.4962
China,Dongqi Garments Ltd,"No.1 Guangji Road,Dangtu,Maanshan,Anhui Province",Apparel,31.58525,118.47803
China,"(FRoad) Tai'An Shengjin Garments Co.,Ltd","No.1 Jinlun Road,Laocheng Area,Feicheng,Taian,Taian,Shandong Province",Apparel,36.2167446,116.7653239
China,"Fujian Putian Feite Footwear Co.,Ltd","No.1 Sanshan Village,Xitianwei Town,Licheng District,Putian,Fujian Province",Apparel,25.48509,119.0426
China,High Rock Recreation Products,"No.11 Yijing Road,Dong Li Economic Development Area,Tianjin",Apparel,39.079404,117.357421
China,Shanghai Weifang Garments Factory,"No.1270 Hangtang Road,Jinhui Town,Fengxian District,Shanghai",Apparel,30.988924,121.501369
China,"Shanghai Huatian Knitting Garment Co.,Ltd","No.151-5 East Huanfeng Road,JinshanDistrict,Shanghai,Jiangsu Province",Apparel,30.83458,121.00792
China,"C. Robert Enterprise Co.,Ltd","No.7 Zhuliao Street,Bai Yun District,Guangzhou,Guangdong Province",Apparel,23.365454,113.351602
China,"Dalian Tai Yang Ying Garment Co.,Ltd","Pikou Town Industry Zone,Pulandian,Dalian,Liaoning Province",Apparel,39.398478,122.338704
India,Pratibha Syntex Ltd,"PLOT 4,INDUSTRIAL GROWTH CENTRE,KHEDA-454 774,PITHAMPUR,DIST. DHAR,Madhya Pradesh",Apparel,23.0439335,75.23040379999999
Nepal,Inc. dba Khangri Sourcing,"Serene Handicrafts,Ittachhen - 15,BhaktApparelur,Kathmandu",Apparel,27.6884612,85.3613266
China,Siyang City - Qianrun Garments Subsidiary Company,"Siyang Economic Development Zone C-2 (Shenzhen Road 36 Campus South Gates),Siyang Town,Suqian,Jiangsu Province",Apparel,33.693594,118.742425
Vietnam,"Unico Global VN Co.,Ltd","Tan Dan Town,Yen Dung District,Bac Giang Province,Yen Dung,Bac Giang Province",Apparel,21.2170559,106.2562305
China,"Yi Chang Tai Garment (Quanzhou) Co.,Ltd","Taoyuan Industrial Zone,Fengzhou Town,Nan'An,Quanzhou,Fujian Province",Apparel,24.95362,118.5367
China,"Zhangjiagang Hua Qiang Knitting Garment Co.,Ltd","Tianzhuang Village,Fenghuang Town,Zhangjiaguang,Jiangsu Province",Apparel,31.782543,120.675758
Italy,GARSPORT SRL,"VIA PIAVE,15,31040 VOLPAGO DEL MONTELLO,TREVISO",Apparel,45.774943,12.1104916
