country,name,address,lat,lng
BANGLADESH,NOMAN TERRY TOWEL MILLS LTD,"VAWAL MIRZAPUR,GAZIPUR,BANGLADESH;",24.0838737,90.35010199999999
BANGLADESH,ZABER AND ZUBAIR FABRICS LTD,"PAGAR,TONGI,GAZIPUR,DHAKA,BANGLADESH;",23.8928709,90.4193781
CHINA,ANHUI LANLAN TOWEL & SHEET CO LTD,"TEXTILE INDUSTRIAL PARK,ZONGYANG ECONOMIC DEVELOPMENT ZONE,ZONGYANG,ANQING,ANHUI,CHINA;",30.700733,117.2202
CHINA,BAIJIA (FUJIAN) UNDERWEAR CO LTD - HUAHAI VILLAGE,"BAIJIA INDUSTRIAL PARK,HUAHAI VILLAGE,SHENHU PARK OF JINJIANG ECONOM,JINJIANG,FUJIAN,CHINA;",24.608393,118.649582
CHINA,CREATION TEXTILES CO LTD,"NO. 12 SHITIAN ROAD,YANGCHENGHU TOWN,XIANGCHENG DISTRICT,SUZHOU,JIANGSU,CHINA;",31.5051832,120.7250682
CHINA,DONGGUAN CHA SHAN WING LUEN KNITTING FACTORY,"LI BEN INDUSTRIAL PARK,NAN SHE INDUSTRIAL AREA,CHA SHAN TOWN,DONGGUAN,GUANGDONG,CHINA;",23.076233,113.86913
CHINA,FUJIAN JINJIANG HUAMEI KNITTING AND CLOTHING CO LTD,"DONGSHAN,SHENHU TOWN,JINJIANG,FUJIAN,CHINA;",24.7149593,118.5276345
CHINA,FUZHOU QINGXIANG PLASTIC & RUBBER CO LTD,"YUZHAI VILLAGE,GAISHAN TOWN,CANGSHAN DISTRICT,FUZHOU,FUJIAN,CHINA;",26.025576,119.334132
CHINA,FUZHOU TIANFU PLASTIC CO LTD,"16 DAOSHANSHAN ROAD,AOSHAN VILLAGE LUOZHOU TOWN CANGSHAN DISTRICT,FUZHOU,FUJIAN,CHINA;",25.981892,119.349358
CHINA,HANGZHOU QIYAO TEXTILE CO LTD,"NO 17 HONGDA ROAD,LINPING,YUHANG,HANGZHOU,ZHEJIANG,CHINA;",30.458229,120.286136
CHINA,HE ZE FITEX APPAREL CO LTD,"WEST OF HOSPITAL,WANGHAOTUN TOWN,MUDAN DISTRICT,HEZE,SHANDONG,CHINA;",35.127931,115.314703
CHINA,HEZE ELEGANCE FASHIONS LTD,"NO 978 JINAN ROAD,HEZE,SHANDONG,CHINA;",35.2188732,115.5362891
CHINA,JIANDE XINDA METAL CRAFT CO LTD,"HOU TANG INDUSTRIAL ZONE,JIANDE,HANGZHOU,HANGZHOU,ZHEJIANG,CHINA;",30.003655,119.741865
CHINA,JIANGSU BONAS KNITTING CO LTD,"6 YIWU RD,SHUYANG,JIANGSU,CHINA;",34.1266336,118.8357962
